"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 13 20:22:39 BST 2023","Fri Oct 13 20:22:53 BST 2023","14134","chromium","login.spec.ts","Log in","","","should navigate to Log In page",""
"passed","Fri Oct 13 20:22:39 BST 2023","Fri Oct 13 20:22:54 BST 2023","14764","chromium","login.spec.ts","Log in","","","should Log In",""
